name_author,id_author,date_publication,id_comment,text_comment,answer_to,likes,vote,id_article
Бактияр,161452,2020-07-31 04:37:50,11149593,Мерекелеріңізбен!,,0,2,5034305
Самат,151855,2020-07-31 04:38:55,11149596,Осы айтта дұға тілектеріңіз қабыл болғай,,0,2,5034305
Илияс,161369,2020-07-31 04:40:05,11149600,Бұйырса мына аурудан аман есен шығуды тілейік,,0,2,5034305
Габит,161360,2020-07-31 04:40:54,11149602,Аман болыңыздар барша қазақ елі,,0,2,5034305
Vincento Vegas,144927,2020-07-31 02:24:28,11149514,"Уже многомиллиардный Китай обогнали,который пожирает летучих мышей и тараканов.И это ещё первое полугодие.",,7,7,5034304
иван петров,123880,2020-07-31 03:02:01,11149536,1414. Я этот номер телефона надолго запомню.,,4,4,5034304
Отец ваш,155693,2020-07-31 03:11:51,11149539,Как они сбрасывают ?) И потом говорят оцените ?),11149536,3,3,5034304
Late05,28675,2020-07-31 03:23:11,11149544,Не возможно дозвониться!!!,11149536,2,2,5034304
Виолетта Журомская-Лейхман,169532,2020-07-31 04:06:08,11149565,Я дозвонилась без проблем! Очень благодарна девушкам сотрудникам за консультацию и помощь!,11149544,-2,2,5034304
Неверю,154214,2020-07-31 05:27:18,11149675,звонить нестал..все равно недадут..зря есп заплатил..,11149565,1,1,5034304
LION KING,106169,2020-07-31 06:35:34,11149738,Следующий номер какой будет рекламировать??? 7111?,,2,2,5034304
Vincento Vegas,144927,2020-07-31 02:21:36,11149510,"Ну да,ну да.....",,5,5,5034303
Takke,22396,2020-07-31 06:06:16,11149713,"и протокол нарушен, сперва Президент должен проздравить",11149510,1,1,5034303
Алматинец,156737,2020-07-31 04:03:42,11149561,Хоть сто мечетей постройте ну Аллах все видет! Так что я его поздравления мимо ушей пропускаю,,7,7,5034303
Mike Mike,114314,2020-07-31 05:14:41,11149654,"Мечетями не очистишься от грязных деяний и не будешь ангелом!!!""Мечети,построенные на нечестных деньгах никогда не будут домом Всевышнего""-так сказал улем Сулеймана Великолепного.",11149561,4,4,5034303
Дастан,161476,2020-07-31 04:37:28,11149592,Всех с праздником,,0,0,5034303
Ерасыл,161367,2020-07-31 04:38:29,11149595,Пусть в этот день и не только сердце будет каждого наполнено только любовью,,1,1,5034303
Абай,151532,2020-07-31 04:39:22,11149598,"Желаю всем мирного неба, благополучия и крепкого здоровья.",,1,1,5034303
Сапархан,151837,2020-07-31 04:40:18,11149601,"Берегите себя, цените каждый миг и творите добрые дела",,1,1,5034303
Медет,161380,2020-07-31 04:41:02,11149603,С этого дня и отныне пусть у всех все будет хорошо,,1,1,5034303
Ilyas Nurlanov,136712,2020-07-31 04:41:51,11149607,Спасибо за такие теплые пожелания,,-5,5,5034303
Ердаулет,161387,2020-07-31 04:43:19,11149610,Здоровья и процветания в каждую семью нашей многонациональной страны,,1,1,5034303
Алишер,151844,2020-07-31 04:43:57,11149611,"Через призму таких праздников и прививается нравственное воспитание, всех еще раз с праздником",,0,0,5034303
Казах-PRO .,105495,2020-07-31 01:42:50,11149505,"Опытный кардиолог с большим стажем перелётов как-то раз пояснил, что кто задремал во время взлёта, тот потом не сможет спать в полёте именно из-за перепадов давления.<br>Поэтому и надо выдержать и не уснуть, особенно во время раннего утреннего взлёта.<br>Зато потом отсыпаться в полёте",,3,3,5034302
Марина Лигай,155288,2020-07-31 04:15:10,11149573,"Ну не знаю...я легче переношу посадку, когда сплю 🤣. Не люблю взлеты и посадки...нога блин сама на тормоз жмёт 🤣🤣",,8,8,5034302
Adam Abbas,100965,2020-07-31 05:34:09,11149684,"Вообще не люблю летать, ничего не контролируешь... А пилот хер его знает какой...",,2,2,5034302
Дрон задумчивый,110679,2020-07-31 06:13:21,11149716,"Там сейчас по большей части работает автоматика, так что не страшно.",11149684,5,7,5034302
Арман,151104,2020-07-31 09:35:22,11149833,"Я уверен что больше  , я например болею  бессимтомно  меня в этом списке нету точно",,0,0,5034301
Sauber,110251,2020-07-31 01:12:30,11149501,За удовольствие надо платить)),,11,17,5034300
Восточный Партизан,100115,2020-07-31 03:41:24,11149549,Главное не подцепить какой нить заразы при получении такого дешового и грязного удовольствия... 😂,11149501,10,14,5034300
Макс Иванов,101412,2020-07-31 03:46:34,11149552,Украинских офицеров?  😂😂😂😂 Прапорщиков надо готовить. Что не хохол то прапорщик. Всегда так было  ,,10,16,5034300
Макс Иванов,101412,2020-07-31 03:55:32,11149554,Иначе некому будет растаскивать обмундерование.,11149552,10,14,5034300
Луций Сенека,131979,2020-07-31 04:10:12,11149569,Напишите себе на лбу несмываемой краской -КАЦАП.,11149552,-11,17,5034300
Макс Иванов,101412,2020-07-31 04:12:56,11149571,А ты себе ЧУДАК только с буквы М,11149569,11,17,5034300
Луций Сенека,131979,2020-07-31 04:08:19,11149567,"Единственный вопрос, по которому республиканцы с демократами не ругаются - это помощь Украине",,-10,14,5034300
Плеканец Плеканец,121951,2020-07-31 04:15:07,11149572,"Единственный вопрос, по которому в Раде не бьют по физиономии, это то, что любую помощь и кредит надо своровать",11149567,11,15,5034300
Плеканец Плеканец,121951,2020-07-31 04:20:59,11149578,"Рудльф Джулиани: ""На Украине разворовали более 5 млрд дол при президенте Порошенко""",11149567,10,16,5034300
Казах-PRO .,105495,2020-07-31 09:20:58,11149822,"Internet: Украина рассматривает Глобальный форум по восстановлению активов в следующем году как основную возможность добиться прогресса в возвращении до 40 миллиардов долларов, которые, по ее словам, были украдены у государства, когда бывший президент Виктор Янукович был у власти.",11149578,4,4,5034300
Казах-PRO .,105495,2020-07-31 09:21:10,11149824,Марионетка ваты,11149822,4,4,5034300
Казах-PRO .,105495,2020-07-31 09:25:05,11149829,"Internet: Бывшие украинские чиновники направили в Россию 32 миллиарда долларов, заявил исполняющий обязанности генерального прокурора Украины перед встречей в Лондоне по отслеживанию денег, предположительно похищенных свергнутым президентом Украины Виктором Януковичем.",11149824,2,2,5034300
Хозяин умпалумп,150493,2020-07-31 10:39:19,11149856,"шал, как ты себе вообще представляешь отправку 32 000 000 000 в Россию? Через какие канал? ты все таки пещерный шал👌",11149829,0,0,5034300
ZHuma,146675,2020-07-31 04:57:52,11149636,"Ну надо же иметь шавку на привязи, гавкающую о вторжении...",11149567,11,15,5034300
сланцевый майданщик,136996,2020-07-31 05:01:44,11149640,и транзит сланцевого газа.. <br>тоже - каждый год,,9,13,5034300
Eljas Esengeldiev,107567,2020-07-31 09:40:27,11149835,Кто за девушку платит тот и танцует с ней,,-2,2,5034300
Хозяин умпалумп,150493,2020-07-31 10:36:05,11149851,"Помню украм уже бабла занимали на великую укростенку. Строил её волшебный кролик. А теперь угадайте, где укростенка и где тепер  Сенька Яценюк?😂<br>Однако...выплачивать будут укры👌",,0,0,5034300
